matter_id,file_no,portal_http,file_match,title_match,type_match,status_match,intro_match,site_page,note
10582,193901,200,exact,exact,exact,exact,exact,yes,
10088,193376,200,exact,exact,exact,exact,exact,yes,
14053,197290,200,exact,exact,exact,exact,exact,yes,
6316,189576,200,exact,exact,exact,exact,exact,yes,
18608,201882,200,exact,exact,exact,exact,exact,yes,
21385,204680,200,exact,exact,exact,exact,exact,yes,
4840,24-0256,200,exact,exact,exact,exact,exact,yes,
32615,25-1009,200,exact,exact,exact,exact,exact,yes,
15144,198426,200,exact,exact,exact,exact,exact,yes,
16640,199915,200,exact,exact,exact,exact,exact,yes,
12237,195515,200,exact,exact,exact,exact,exact,yes,
6198,189420,200,exact,exact,exact,exact,exact,yes,
34033,26-0466,200,exact,exact,exact,exact,exact,yes,
33356,25-1709,200,exact,exact,exact,exact,exact,yes,
22115,205396,200,exact,exact,exact,exact,exact,yes,
11006,194301,200,exact,exact,exact,exact,exact,yes,
22169,205525,200,exact,exact,exact,exact,exact,yes,
12711,195979,200,exact,exact,exact,exact,exact,yes,
33124,25-1484,200,exact,exact,exact,exact,exact,yes,
24146,207354,200,exact,exact,exact,exact,exact,yes,
34008,26-0441,200,exact,exact,exact,exact,exact,yes,
31361,24-1603,200,exact,exact,exact,exact,exact,yes,
27817,211098,200,exact,exact,exact,exact,exact,yes,
6805,190143,200,exact,exact,exact,exact,exact,yes,
29912,213252,200,exact,exact,exact,exact,exact,yes,
27327,210595,200,exact,exact,exact,exact,exact,yes,
4159,23-1525,200,exact,exact,exact,exact,exact,yes,
5497,24-0877,200,exact,exact,exact,exact,exact,yes,
29183,212465,200,exact,exact,exact,exact,exact,yes,
28607,211894,200,exact,exact,exact,exact,exact,yes,
30193,213566,200,exact,exact,exact,exact,exact,yes,
23267,206510,200,exact,exact,exact,exact,exact,yes,
12107,195376,200,exact,exact,exact,exact,exact,yes,
33484,25-1820,200,exact,exact,exact,exact,exact,yes,
16241,199535,200,exact,exact,exact,exact,exact,yes,
19958,203237,200,exact,exact,exact,exact,exact,yes,
6843,190144,200,exact,exact,exact,exact,exact,yes,
33888,26-0327,200,exact,exact,exact,exact,exact,yes,
4367,23-1712,200,exact,exact,exact,exact,exact,yes,
14890,198173,200,exact,exact,exact,exact,exact,yes,
15743,198958,200,exact,exact,exact,exact,exact,yes,
15630,198783,200,exact,exact,exact,exact,exact,yes,
18434,201702,200,exact,exact,exact,exact,exact,yes,
16993,200386,200,exact,exact,exact,exact,exact,yes,
26642,209925,200,exact,exact,exact,exact,exact,yes,
34638,26-1034,200,exact,exact,exact,exact,exact,yes,
4785,24-0208,200,exact,exact,exact,exact,exact,yes,
5638,24-1003,200,exact,exact,exact,exact,exact,yes,
